,artist,title,year,†artist,*artist
L03073,William Scott,The Harbour,1940,1989,1913
N03213,Sir William Quiller Orchardson,Mrs Charles Moxon,1860,1910,1832
T06888,Winifred Nicholson,Glimpse Upon Waking,1920,1981,1893
N04087,Sir William Nicholson,Portrait of a Man of Letters: W.E. Henley,1900,1949,1872
N06168,André Minaux,Arm-chair in an Interior,1940,1986,1923
T01993,Bernard Meninsky,Standing Female Nude in a Landscape,1910,1950,1891
N04417,Jean Marchand,Maternity,1900,1941,1883
N05705,Frances Macdonald,"Building the Mulberry Harbour, London Docks",1940,2002,1914
N00439,John Linnell,Landscape(‘The Windmill’),1820,1882,1792
N00418,"Frederick Richard Lee, Sir Edwin Henry Landseer",Cover Side (figures and animals by Sir E. Landseer),1830,1873,1802
T03798,Heinz Koppel,"Snow, Sunshine, Rain",1940,1980,1919
N05097,Augustus John OM,"The Little Railway, Martigues",1910,1961,1878
AR01135,Jenny Holzer,Phase III - Decisive Operations violet,1950,1950,1950
N04876,Frank Holl,Portrait of My Mother,1860,1888,1845
T00686,Adrian Heath,Drawing 1964 (Divided Blue),1940,1992,1920
T00405,William Gear,Interior,1940,1997,1915
T00442,William N. Copley,Place de l’Opéra,1940,1996,1919
N01910,William Collins,Early Morning - Cromer,1810,1847,1788
T02353,Henry Thomas Alken,The Belvoir Hunt: Jumping into and out of a Lane,1810,1851,1785
T00379,Giuseppe Ajmone,Autumn,1950,2005,1923
N05622,Benjamin West,Sketch for ‘St Paul Shaking off the Viper’,1770,1820,1738
T06894,Karl Weschke,Pillar of Smoke,1950,2005,1925
T00128,Dame Ethel Walker,Flowers in a Jug,1890,1951,1861
N02693,Joseph Mallord William Turner,Hampton Court from the Thames,1800,1851,1775
N01180,Joseph Mallord William Turner,Cliveden on Thames,1800,1851,1775
T00181,Gustave Singier,Provence I,1930,1984,1909
T00380,Sergio Romiti,Composition,1950,2000,1928
N00401,David Roberts,"Chancel of the Collegiate Church of St Paul, at Antwerp",1820,1864,1796
N05173,Roland Vivian Pitchforth,Night Transport,1920,1982,1895
N05347,Louise Pickard,Still Life by a Window,1890,1928,1865
T06599,Patrick Phillips,Mrs Carter Gifford,1930,1976,1907
N04734,Walter William Ouless,Philip Westlake,1880,1933,1848
N05849,George Morland,"Outside an Inn, Winter",1780,1804,1763
T01841,Jeremy Moon,Trellis,1950,1973,1934
T06728,Charles Mahoney,Wrotham Place from the Garden,1920,1968,1903
T13305,Callum Innes,Untitled No 39,1960,1962,1962
N03512,John Hoppner,Miss Harriet Cholmondeley,1780,1810,1758
N04564,Walter Greaves,Walter Greaves and Alice Greaves on the Embankment,1870,1930,1846
N01825,Thomas Gainsborough,Woody Landscape with Building,1750,1788,1727
T03159,Sheila Fell,"Maryport, Cumbria",1950,1979,1931
N01527,Thomas Faed,Highland Mother,1850,1900,1826
T03406,François Desnoyer,Large Port of Sète,1920,1972,1894
T01039,Robyn Denny,First Light,1960,2014,1930
N02665,David Cox,Moorland Road,1810,1859,1783
N00436,Thomas Sidney Cooper,Among the Cumberland Mountains - Mist Clearing Off,1840,1902,1803
N05547,Charles Conder,Trees in a Meadow,1880,1909,1868
T06487,Jeffery Camp,Southcoast,1920,1923,1923
N02989,Richard Wilson,"View near the Loggerheads, Denbigh",1740,1782,1713
N05499,Joseph Mallord William Turner,Rocky Coast,1800,1851,1775
TW0956,Joseph Mallord William Turner,"Mouth of the Seine, Quille-Boeuf",1800,1851,1775
T05798,Julian Trevelyan,Basewall,1940,1988,1910
N04561,Philip Wilson Steer,David Croal Thomson,1890,1942,1860
N04676,William Shackleton,Line of Life,1890,1933,1872
T01999,Elliott Seabrooke,Near Pourville,1910,1950,1886
T00660,William Roberts,The Lake,1920,1980,1895
T02346,William Roberts,Playground (The Gutter),1920,1980,1895
N05795,John Linnell,The Sandpits,1820,1882,1792
T06691,John Lessore,Diana and Actaeon at the Byam Shaw,1940,1939,1939
N01413,Sir Thomas Lawrence,Philip Sansom,1790,1830,1769
N01184,George Lance,Fruit Piece,1820,1864,1802
T13011,R.B. Kitaj,Death’s Door,1960,2007,1932
N02895,Richard Jack,Rehearsal with Nikisch,1890,1952,1866
T03328,Anthony Gross,La Route de Ste Livrade,1930,1984,1905
N00451,Frederick Goodall,The Tired Soldier Resting at a Roadside Well,1850,1904,1822
T00491,Andrew Forge,Orange Nude: S. Undressing,1950,2002,1923
T07125,Anthony Eyton,Bankside - The Turbine Hall,1920,1923,1923
T02099,Merlyn Oliver Evans,The Mark of the Beast,1930,1973,1910
N03645,Charles Conder,Windy Day at Brighton,1880,1909,1868
T00470,Harold Cohen,Benedictus,1960,2016,1928
N03209,Sir David Cameron,Ben Ledi,1890,1945,1865
N00345,Sir Augustus Wall Callcott,Littlehampton Pier,1800,1844,1779
N04995,Jacques-Emile Blanche,Francis Poictevin,1890,1942,1861
T02350,Jacques Laurent Agasse,Two Hunters with a Groom,1790,1849,1767
N06083,George Frederic Watts,"Augusta, Lady Castletown",1850,1904,1817
T00501,Keith Vaughan,Rotherhithe,1930,1977,1912
N05397,"Unknown artist, Britain",Lady Catherine Henry in Turkish Dress,0,-1,-1
N03382,Joseph Mallord William Turner,Claudian Harbour Scene: Study for ‘Dido Directing the Equipment of the Fleet’,1800,1851,1775
T07805,Adrian Stokes,Still Life,1930,1972,1902
N03803,Philip Wilson Steer,Mrs Raynes,1890,1942,1860
T02373,Thomas Spencer,"A Bay Hunter Held by a Groom, with a Stag-Hunt in the Background",1750,1756,1740
N01778,Robert Smirke,Sancho Panza and the Duchess,1780,1845,1752
N03325,Charles Ricketts,Deposition from the Cross,1890,1931,1866
T07273,Isabel Rawsthorne,View through a Window II,1940,1992,1912
T03342,John Murphy,Delta,1940,1945,1945
N04701,William McTaggart,The Harvest Moon,1860,1910,1835
N04447,Ambrose McEvoy,Euphemia,1890,1927,1877
N03033,Flora Lion,My Mother,1900,1958,1878
N03583,Sir Peter Lely,Frans Mercurius van Helmont,1640,1680,1618
N05109,F. Ernest Jackson,Mrs Beasley,1900,1945,1872
T07122,William Hogarth,"Portrait of Hannah, Daughter of John Ranby Snr",1720,1764,1697
T00499,Derek Hill,Lancashire Slate Quarry,1940,2000,1916
T04129,Jan Griffier I,A Turkey and other Fowl in a Park,1670,1718,1645
T03350,Hilde Goldschmidt,The Sphinx,1920,1980,1897
N05124,Mark Gertler,Violin Case and Flowers,1910,1939,1891
N01486,Thomas Gainsborough,Landscape with Figures under a Tree,1750,1788,1727
T05784,Thomas Frye,Henry Crispe of the Custom House,1730,1762,1710
N01592,Matthew Ridley Corbet,Morning Glory,1870,1902,1850
T07475,Derek Boshier,Shy Cowboy,1940,1937,1937
T04116,Norman Blamey,Decoy Duck and Self-Portrait,1940,2000,1914
T00608,Mordecai Ardon,"Missa Dura: The Knight, Crystal Night, House No. 5",1930,1992,1896
N01357,Ignacio Zuloaga,View of the Escorial,1890,1945,1870
T13293,Zhang Enli,Bucket 5,1960,1965,1965
T11835,John Wootton,"Viscount Weymouth’s Hunt: Thomas, 2nd Viscount Weymouth, with a Black Page and other Huntsmen at the Kill",1710,1764,1682
N02647,Richard Wilson,"River View, on the Arno (?)",1740,1782,1713
T00448,Hubert L. Wellington,"The Big Barn, Frampton Mansell",1910,1967,1879
N01993,Joseph Mallord William Turner,"Sketch for ‘East Cowes Castle, the Regatta Beating to Windward’ No. 3",1800,1851,1775
N05473,Joseph Mallord William Turner,"Italian Landscape, probably Civita di Bagnoregio",1800,1851,1775
TW1116,Joseph Mallord William Turner,Fishmarket on the Sands - Hastings (?),1800,1851,1775
N04379,Alfred Stevens,Miss Emma Pegler,1840,1875,1817
T07611,Jean Spencer,[no title],1960,1998,1942
T02265,James Seymour,Chestnut Horse with a Groom near Newmarket,1720,1752,1702
N01545,James Baker Pyne,"The Mulgrave Alum Works at Sandsend, Yorkshire Coast",1820,1870,1800
T00602,Victor Pasmore,Portrait of a Jewish Woman,1940,1998,1908
N04883,Herbert A. Olivier,Mrs Edwin Bale,1890,1952,1861
T00426,Edo Murtic,Red and Brown,1950,2005,1921
N02056,George Morland,The Fortune Teller,1780,1804,1763
T03833,Sir Thomas Monnington,Trees,1930,1976,1902
N02960,George Robert Lewis,"Hereford, from the Haywood, Noon",1810,1871,1782
N04974,George Lambourn,Portrait of a Communist,1930,1977,1900
T06878,Peter Kinley,Flowers on a Table,1950,1988,1926
N04819,Augustus John OM,Lord David Cecil,1910,1961,1878
T01819,Richard H. Hilditch,Kew Gardens from Richmond Hill,1830,1873,1804
N04599,Walter Greaves,The Green Dress,1870,1930,1846
T00421,Patrick George,Natalie Dower,1950,2016,1923
N02637,Thomas Gainsborough,Sir William Blackstone,1750,1788,1727
N01395,Sir Charles Lock Eastlake,Mrs Charles H. Bellenden Ker,1820,1865,1793
N02643,John Berney Crome,Moonlight,1810,1842,1794
N02667,David Cox,The Road across the Common,1810,1859,1783
N03151,Sir Frank Brangwyn,The Poulterer’s Shop,1900,1956,1867
T11750,John Bellany,Homage to David B,1970,2013,1942
T01061,John Armstrong,Tocsin III,1920,1973,1893
T11834,John Wootton,Viscount Weymouth’s Hunt: A Groom holding a Saddled Grey Hunter with Hounds and Terriers,1710,1764,1682
N04886,William Lindsay Windus,"Mrs Teed, the Artist’s Daughter",1850,1907,1822
N05551,Richard Wilson,Apollo and the Seasons,1740,1782,1713
N00433,Penry Williams,Italian Girl with Tambourine,1830,1885,1802
N01389,George Burrell Willcock,"Chelston Lane, Torquay",1820,1852,1811
N00388,Thomas Uwins,Le Chapeau de Brigand,1810,1857,1782
T03872,Joseph Mallord William Turner,The Thames at Weybridge,1800,1851,1775
N01994,Joseph Mallord William Turner,"Sketch for ‘East Cowes Castle, the Regatta Beating to Windward’ No. 2",1800,1851,1775
N01995,Joseph Mallord William Turner,"Sketch for ‘East Cowes Castle, the Regatta Beating to Windward’ No. 1",1800,1851,1775
T03877,Joseph Mallord William Turner,"Near the Thames’ Lock, Windsor",1800,1851,1775
N04462,Philip Wilson Steer,Bathsheba,1890,1942,1860
T00530,Sir Stanley Spencer,"Mending Cowls, Cookham",1910,1959,1891
N05088,Walter Richard Sickert,Rowlandson House - Sunset,1890,1942,1860
N00891,Manner of Sir Joshua Reynolds,Mrs Fox,1750,1792,1723
T07651,David Reeb,Ofra Haza with Soldiers in Gaza,1950,1952,1952
N01570,Valentine Cameron Prinsep,Ayesha,1860,1904,1838
N04933,Roland Vivian Pitchforth,Floods,1920,1982,1895
N01408,John Opie,Master William Opie,1780,1807,1761
N04781,David Muirhead,The Cornfield,1890,1930,1867
T00498,Robert Medley,The Antique Room at the Slade: Niobe and Hermes,1930,1994,1905
N05987,Robert Medley,Rhododendrons,1930,1994,1905
T03395,Sir Edwin Henry Landseer,The Harper,1830,1873,1802
T07287,Maria Lalic,History Painting 2 Cave. Yellow Earth,1950,1952,1952
T01891,William James Laidlay,On the Nile,1870,1912,1846
N04957,Harold Knight,A Student,1900,1961,1874
T12029,Sir Godfrey Kneller,"Philip, 4th Lord Wharton",1670,1723,1646
N04894,Lily D. Joseph,"Roofs, High Holborn",1890,1940,1863
T01763,Francis Holman,A Dockyard at Wapping,1770,1790,1767
T00688,Edna Ginesi,Everglades,1930,2000,1902
L03760,Joseph Gandy,Jupiter Pluvius,1790,1843,1771
N04789,Jean-Louis Forain,Counsel and Accused,1880,1931,1852
T00665,Sir Charles Lock Eastlake,The Colosseum from the Campo Vaccino,1820,1865,1793
T02109,Samuel Colman (or Coleman),The Death of Amelia,1800,1845,1780
N04928,George Coates,The Children’s Orchestra,1890,1930,1869
T00364,Eugène Carrière,Nelly Carrière,1870,1906,1849
T02028,Richard Carline,Portrait of Hilda Carline,1920,1980,1896
N00340,Sir Augustus Wall Callcott,Returning from Market,1800,1844,1779
N01960,Edgar Bundy,The Morning of Sedgemoor,1880,1922,1862
N02738,Sir Arnesby Brown,Silver Morning,1900,1955,1866
N00374,Richard Parkes Bonington,"View of the Piazzetta near the Square of St Mark, Venice",1810,1828,1802
T14834,John White Abbott,"Tree Study, Fordland",1790,1851,1763
T13980,Rose Wylie,Lorry Art,1930,1934,1934
N02979,William Turner of Oxford,Peasants outside an Inn,1810,1862,1789
N05500,Joseph Mallord William Turner,The Procuress; (?) Judith with the Head of Holofernes,1800,1851,1775
TW1540,Joseph Mallord William Turner,"Calder Bridge, Cumberland",1800,1851,1775
N06148,William Townsend,Hop Alleys,1930,1973,1909
N04656,Annie Louisa Swynnerton,Count Zouboff,1870,1933,1844
N00322,Thomas Stothard,A Battle,1780,1834,1755
N04746,Sir Walter Russell,The Farmyard,1890,1949,1867
T00196,William Roberts,The Cockatoos,1920,1980,1895
T00560,Peter Rose Pulham,"L’Hôtel Sully, Courtyard with Figures",1930,1956,1910
N05227,Charles Mahoney,Outhouses,1920,1968,1903
N03840,Henry Lamb,Phantasy,1910,1960,1883
N01622,Joseph Knight,A Tidal River,1860,1909,1837
T06983,Peter Kinley,Large House with Two Gables,1950,1988,1926
N05927,Cornelius Johnson,Unknown Lady,1620,1661,1593
N05936,Augustus John OM,Viscount d’Abernon,1910,1961,1878
N03041,Sir Charles John Holmes,The Burning Kiln,1890,1936,1868
T06870,William Hogarth,"Head of a Lady, Called Lady Pembroke",1720,1764,1697
T01854,Roger Hilton,Untitled,1930,1975,1911
N04193,Douglas S. Gray,Rosalind,1910,1959,1890
T00056,Isaac Fuller,Portrait of an Unknown Man,1630,1672,1606
T01065,Sheila Fell,Haystack in a Field,1950,1979,1931
N01815,Doubtfully attributed to John Constable,"‘Summer, Afternoon - After a Shower’",1800,1837,1776
T00235,Jack Clemente,Mineral Efflorescence,1940,1974,1926
T01910,George Chinnery,Colonel Woodburn of the Bengal Artillery,1800,1852,1774
T02357,Henry Bernard Chalon,"A Representation of the Persians in the Costume of their Country, Attending at Carlton Palace",1800,1849,1770
N05873,Elinor Bellingham-Smith,Dragon-Flies,1930,1988,1906
T01693,William Baziotes,Mammoth,1930,1963,1912
T01402,Francis Barlow,"A Roller, Two Peregrine Falcons and a Long-Eared Owl with her Young",1650,1704,1626
N00231,Sir David Wilkie,"Thomas Daniell, R.A.",1800,1841,1785
T00808,Egbert Van Heemskerk III,The Doctor’s Visit,1710,1744,1700
T03655,Geoffrey Tibble,Three Women,1920,1952,1909
N01651,George Romney,Mrs Mark Currie,1760,1802,1734
T03075,William Roberts,Portrait of a Man Lighting a Pipe,1920,1980,1895
N04851,Madge Oliver,Le Coin de l’Atelier,1890,1924,1874
T07784,"Sir Cedric Morris, Bt",Les Ponts de Ceret,1920,1982,1889
N05083,Arnold Mason,Girl with a Hand-Mirror,1910,1963,1885
N05346,Augustus John OM,Blue Cineraria,1910,1961,1878
T01760,Tess Jaray,Fifteen,1940,1937,1937
T13411,Callum Innes,Untitled No 51,1960,1962,1962
N02261,Sir Herbert Hughes-Stanton,"A Pasturage among the Dunes, Pas de Calais, France",1890,1937,1870
N02765,John Hoppner,A Gale of Wind,1780,1810,1758
T11756,William Hogarth,"Three Ladies in a Grand Interior (‘The Broken Fan’), possibly Catherine Darnley, Duchess of Buckingham with Two Ladies",1720,1764,1697
T02077,Allan Gwynne-Jones,Self-Portrait,1920,1982,1892
T03215,Jeffery Camp,Beachy Head: Brink,1920,1923,1923
N06235,Martin Bloch,The Mississippi at Minneapolis,1910,1954,1883
N03029,Fred Appleyard,A Secret,1900,1963,1874
N05668,Dame Ethel Walker,The Zone of Love: Decoration,1890,1951,1861
N02878,"Unknown artist, Britain",A Lady of the Horton Family,0,-1,-1
N02699,Joseph Mallord William Turner,Washing Sheep,1800,1851,1775
TW1070,Joseph Mallord William Turner,Van Tromp’s Shallop at the Entrance of the Scheldt,1800,1851,1775
N00465,Joseph Mallord William Turner,"Mountain Scene with Castle, Probably Martigny",1800,1851,1775
T07495,Patrick Symons,Mary Iliff’s Viola Played by Electric Light and Drawn by Gas Light,1950,1993,1925
N02473,Philip Wilson Steer,Chepstow Castle,1890,1942,1860
N06011,Ruskin Spear,Mr Hollingbery’s Canary,1940,1990,1911
N05030,Charles Shannon,Hermes and the Infant Bacchus,1890,1937,1863
T00195,Adrian Ryan,Flowers on a Chair,1950,1998,1920
N02314,Paul Falconer Poole,Sketch for ‘Vision of Ezekiel’,1830,1879,1807
N03586,Bertram Nicholls,Drying the Sails,1910,1974,1883
N01677,Andrew Maccallum,"Silvery Moments, Burnham Beeches",1850,1902,1821
N01029,William Linton,The Temples of Paestum,1820,1876,1791
T00632,Max Liebermann,Professor Richard Cassirer,1880,1935,1847
T03212,Humphrey Jennings,Train (Locomotive 101),1920,1950,1907
T15024,Albert Irvin,Enclosed,1950,2015,1922
N04938,Frederick Yeates Hurlstone,Sancho Panza Attended by his State Physician,1820,1869,1800
N04804,Thomas Hudson,Mrs Collier,1730,1779,1701
T01027,Ivon Hitchens,Arno No. 5,1920,1979,1893
N05627,Sir Lawrence Gowing,Mrs Roberts,1940,1991,1918
T02260,Spencer Gore,A Singer at the Bedford Music Hall,1890,1914,1878
N05068,Andrew Geddes,Mrs Greatorex,1800,1844,1783
N01066,Formerly attributed to John Constable,‘Barnes Common’,1800,1837,1776
N00303,Richard Wilson,"Maecenas’ Villa, Tivoli",1740,1782,1713
N01880,Richard Wilson,George III and the Duke of York,1740,1782,1713
N00662,Penry Williams,Neapolitan Peasants at a Fountain,1830,1885,1802
N01637,George Frederic Watts,The Spirit of Christianity,1850,1904,1817
T07241,Haerman Verelst,"Portrait of a lady, thought to be Dionesse Cullum, wife of Robert Colman",570,1699,-1
N00466,Joseph Mallord William Turner,View in Wales: Mountain Scene with Village and Castle - Evening,1800,1851,1775
N05510,Joseph Mallord William Turner,Southern Landscape,1800,1851,1775
N02642,After Joseph Mallord William Turner,A Fresh Breeze (after ‘Sheerness and the Isle of Sheppey’),1800,1851,1775
T06641,N.H. Stubbing (Tony Stubbing),Coral Variations (24),1940,1983,1921
N00763,Robert Smirke,"Don Quixote at Home, after the Termination of his Second Sally",1780,1845,1752
N05945,Elliott Seabrooke,Old Shipping in Heybridge Basin,1910,1950,1886
T00125,John Singer Sargent,The Plains of Esdraelon,1880,1925,1856
N00107,Sir Joshua Reynolds,The Banished Lord,1750,1792,1723
N06159,After Sir Joshua Reynolds,Lady Sarah Bunbury or Lady Beauchamp,1750,1792,1723
N03882,Sir Henry Raeburn,A Young Lady,1780,1823,1756
N04909,Paul Falconer Poole,Sketch for ‘The Death of Cordelia’,1830,1879,1807
N04066,John Opie,Edmund Lenthal Swifte,1780,1807,1761
T00331,Robert Medley,A Tree Study,1930,1994,1905
T06873,Robert Medley,A Crucifixion,1930,1994,1905
T14499,Marwan (Marwan Kassab Bachi),Bader Chaker al Sayyab,1960,2016,1934
T03432,Benjamin Marshall,Interior of a Barn with a Milkmaid and Farm Labourer,1790,1835,1768
N04591,Max Liebermann,Memorial Service for Emperor Frederick at Kösen,1880,1935,1847
N04822,John Frederick Lewis,Buck-Shooting in Windsor Great Park,1830,1876,1805
N02070,George Dunlop Leslie,The Deserted Mill,1860,1921,1835
N04065,Frank Holl,"Samuel Cousins, R.A.",1860,1888,1845
T14841,Dame Barbara Hepworth,Reclining Figures (St Rémy),1930,1975,1903
N02974,Maurice Greiffenhagen,Women by a Lake,1880,1931,1862
T05850,William Gear,Composition,1940,1997,1915
T14558,Oskar Fischinger,Untitled,1920,1967,1900
N05598,Attributed to William Doughty,Caricature Group,1770,1782,1757
N05324,Francis Dodd,Ely,1900,1949,1874
L03767,Dexter Dalwood,Old Bailey,1960,1960,1960
N00448,Edward William Cooke,"Undercliff Cave, Isle of Wight",1830,1880,1811
T00039,Sir Winston Churchill,"The Loup River, Alpes Maritimes",1900,1965,1874
T03598,Jesse Dale Cast,"‘The Windmill’, Clapham Common",1930,1976,1900
N00346,Sir Augustus Wall Callcott,Entrance to Pisa from Leghorn,1800,1844,1779
T14039,Peter Borseller,Portrait of Katherine Hoby,1660,1687,1644
N02987,Thomas Barker of Bath,Landscape,1790,1847,1769
N03727,Richard Wilson,Francesco Zuccarelli,1740,1782,1713
N04541,George Fiddes Watt,The Artist’s Mother,1900,1960,1873
N03133,Joseph Mallord William Turner,Tynemouth Priory,1800,1851,1775
TW0070,Joseph Mallord William Turner,Mountain Landscape with a Lake,1800,1851,1775
TW1257,Joseph Mallord William Turner,"A View of the Castle of St Michael, near Bonneville, Savoy",1800,1851,1775
N02691,Joseph Mallord William Turner,A Thames Backwater with Windsor Castle in the Distance,1800,1851,1775
T03552,Patrick Symons,Oak Arch Grey (Wimbledon Common),1950,1993,1925
N05290,Philip Wilson Steer,Nutting,1890,1942,1860
T04125,Peter Potworowski,Forest (Cornwall),1920,1962,1898
T01479,Douglas Portway,White Screen,1950,1993,1922
T07049,Sidney Richard Percy,In Snowdonia,1840,1886,1821
N00394,William Mulready,Fair Time (‘Returning from the Ale-House’),1810,1863,1786
N03200,David Muirhead,The Avenue,1890,1930,1867
T00342,Manner of John Hamilton Mortimer,Rocky Landscape with Banditti,1750,1779,1740
N05837,John Hamilton Mortimer,I. The Hero Decides to Seek his Fortune,1750,1779,1740
N04118,Bernard Meninsky,Portrait of a Boy,1910,1950,1891
N06203,Jean Marchand,Angelina,1900,1941,1883
T06595,Peter Kinley,Yellow Flower,1950,1988,1926
AR01133,Jenny Holzer,Phase II... Running Start Decisive Operations violet,1950,1950,1950
N00333,William Hilton the Younger,Editha and the Monks Searching for the Body of Harold,1800,1839,1786
T00188,John Frederick Herring,Mazeppa Pursued by Wolves (after Horace Vernet),1820,1865,1795
T02401,Peter Greenham,Father d’Arcy,1940,1992,1909
N05783,Harold Gilman,French Interior,1890,1919,1876
N05344,Richard Eurich,Antwerp,1930,1992,1903
T00098,Sir Roger De Grey,Wrotham Hill,1940,1995,1918
N05662,Simon Bussy,Lady Strachey,1900,1954,1870
N04577,Sir Muirhead Bone,Ballantrae School House,1900,1953,1876
N04225,Henry Bishop,A Street in Carrara,1890,1939,1868
N04388,Walter Bayes,The Ford,1900,1956,1869
T03543,Henry Anderton,Mountain Landscape with Dancing Shepherd,1640,1665,1630
N01198,Lemuel Francis Abbott,"Henry Byne, of Carshalton",1770,1803,1760
N01064,Studio of Richard Wilson,On the Wye,1740,1782,1713
N04458,Richard Wilson,On Hounslow Heath,1740,1782,1713
N01891,Studio of Richard Wilson,Niagara Falls,1740,1782,1713
T03186,Victor Willing,Place with a Red Thing,1950,1988,1928
N02934,Walter West,"Sunshine, Breeze, and Blossom: Lake Como",1880,1933,1860
N05546,Joseph Mallord William Turner,Richmond Hill with Girls Carrying Corn,1800,1851,1775
N04880,Maria Spilsbury,The Schoolmistress,1790,1823,1777
N05266,Sir Matthew Smith,Peaches,1910,1959,1879
N01028,Henry Singleton,Manto and Tiresias,1790,1839,1766
T00222,Walter Richard Sickert,Lady Martin,1890,1942,1860
N04091,Bertram Nicholls,"Steyning Church, Sussex",1910,1974,1883
N01384,Patrick Nasmyth,View in the New Forest near Lyndhurst,1800,1831,1787
T02365,Benjamin Marshall,"Sir Charles Bunbury with Cox, his Trainer, and a Stable-Lad: A Study for ‘Surprise and Eleanor’",1790,1835,1768
T03647,Paul Maitland,"The Three Public-Houses, Morning Sun Light",1880,1909,1863
T00207,Robert MacBryde,Woman with Paper Flowers,1930,1966,1913
N04607,John William Buxton Knight,Plymouth Harbour (The Wooden Walls of England),1860,1908,1842
N03962,Tilly Kettle,Young Man in a Fawn Coat,600,1786,5
T00710,John Hoyland,"No. 22, 20. 2. 62",1960,2011,1934
T11907,Eberhard Havekost,Ghost 1,1970,1967,1967
N04797,Jean Frélaut,Wedding Feast in Brittany,1900,1954,1879
N06268,William Etty,Miss Mary Arabella Jay,1810,1849,1787
T07563,John Dodgson,"Under Arches, Rue de Seine",1920,1969,1890
T14685,John Singleton Copley,The Fountaine Family,1760,1815,1738
L01441,Sir William Coldstream,Standing Nude,1930,1987,1908
N01966,George Chambers,Dutch East Indiamen Weighing their Anchors,1820,1840,1803
N00347,Sir Augustus Wall Callcott,Dutch Peasants Waiting the Return of the Passage Boat,1800,1844,1779
N05790,Manner of Richard Parkes Bonington,Landscape in Normandy,1810,1828,1802
N01097,Richard Wilson,Ariccia,1740,1782,1713
N06026,George Frederic Watts,Study of Clouds,1850,1904,1817
N01947,Arthur Wardle,Fate,1890,1949,1864
N05332,Dame Ethel Walker,Seascape: Autumn Morning,1890,1951,1861
N02705,Joseph Mallord William Turner,Weir and Cattle,1800,1851,1775
N05484,Joseph Mallord William Turner,Sketch for ‘The Banks of the Loire’,1800,1851,1775
N04657,Joseph Mallord William Turner,Cows in a Landscape with a Footbridge,1800,1851,1775
T05748,Geoffrey Tibble,Demolition of Verlaine’s House,1920,1952,1909
T07807,Adrian Stokes,Still Life,1930,1972,1902
T03582,Adrian Stokes,Still Life: Last Eleven (No. 5),1930,1972,1902
N03884,Philip Wilson Steer,Painswick Beacon,1890,1942,1860
N05339,Steven Spurrier,Yellow Wash-stand,1910,1961,1878
T13821,Amy Sillman,CLUBFOOT,1960,1955,1955
N05834,John Opie,The Peasant’s Family,1780,1807,1761
N06044,William McTaggart,Summer Sundown - Tir-nan-og,1860,1910,1835
T00538,Richard Lindner,Homage to a Cat,1930,1978,1901
T03235,George Robert Lewis,"Harvest Field with Reapers, Haywood, Herefordshire",1810,1871,1782
N00611,Charles Landseer,The Pillaging of a Jew’s House in the Reign of Richard I,1830,1879,1799
N05703,Henry Lamb,H.R.H. the Prince of Luxembourg,1910,1960,1883
T03476,Peter Kinley,Fire,1950,1988,1926
L03802,Ellsworth Kelly,Blue Black Red,1950,2015,1923
N00801,George Jones,"Cawnpore, the Passage of the Ganges at Cawnpore on the 29th and 30th November 1857",1810,1869,1786
T15037,Maggi Hambling,2016,1940,1945,1945
T03318,Anthony Gross,"Place du Théâtre, Brive-la-Gaillarde",1930,1984,1905
T01825,Eric Forbes-Robertson,"In the Forest, Pont-Aven",1890,1935,1865
N01525,Thomas Faed,The Silken Gown,1850,1900,1826
N06147,Merlyn Oliver Evans,Souvenir of Suez,1930,1973,1910
T05841,Ian Davenport,Untitled (Drab),1970,1966,1966
T01404,Thomas Daniell,Idgah at Amroha,1780,1840,1749
N01065,Formerly attributed to John Constable,A Cornfield with Figures,1800,1837,1776
N03813,Sir David Cameron,"Rue du Bourg, Chartres",1890,1945,1865
T03353,David Bomberg,The Baby Diana,1910,1957,1890
T06525,Victor Willing,Callot: Fusilier,1950,1988,1928
T13014,Marc Vaux,Composition: Red and Green,1930,1932,1932
N05501,Joseph Mallord William Turner,Two Women with a Letter,1800,1851,1775
N01999,Joseph Mallord William Turner,Shipping off East Cowes Headland,1800,1851,1775
TW0348,Joseph Mallord William Turner,Cilgerran Castle,1800,1851,1775
T01525,William Turnbull,No. 7 1959,1950,2012,1922
T13668,Amikam Toren,Armchair Painting - Untitled (the fact of the matter is),1940,1945,1945
N02648,Sir Henry Raeburn,Lady Dalrymple,1780,1823,1756
N05840,John Hamilton Mortimer,IV. The Hero’s Father Blesses his Marriage,1750,1779,1740
T03592,"Sir Cedric Morris, Bt",Patisseries and a Croissant,1920,1982,1889
T06785,Leonard McComb,Young Woman Holding Duck,1960,2018,1930
T03622,Paul Maitland,Hyacinth,1880,1909,1863
T00907,Robert MacBryde,Performing Clown,1930,1966,1913
N01793,Charles Robert Leslie,Sketch for ‘Christ Rebuking His Disciples by Calling the Little Child’,1820,1859,1794
N01428,Rev. Richard Hume Lancaster,A View at Southampton,1800,1853,1773
T12623,Zebedee Jones,Untitled,1970,1970,1970
T03428,Charles Cooper Henderson,Sportsmen in Scottish Dress Driving to the Moors,1830,1877,1803
T12973,Eberhard Havekost,Infinity 1 and 2,1970,1967,1967
N04098,Ronald Gray,My Mother,1900,1951,1868
T07564,John Dodgson,Market Place,1920,1969,1890
N03273,Walter Howell Deverell,Eustatia,1840,1854,1827
