,artist,title,year,†artist,*artist
N04273,Harold Gilman,Leeds Market,1890,1919,1876
N05688,Evelyn Dunbar,A Land Girl and the Bail Bull,1920,1960,1906
N01876,Joseph Mallord William Turner,Sunset,1800,1851,1775
N01839,Sir Frank Dicksee,The Two Crowns,1880,1928,1853
N06135,Marc Chagall,The Dance and the Circus,1920,1985,1887
N05491,Joseph Mallord William Turner,Three Seascapes,1800,1851,1775
N02653,John Constable,"Malvern Hall, Warwickshire",1800,1837,1776
T07200,Bhupen Khakhar,You Can’t Please All,1960,2003,1934
T04945,Dora Carrington,Farm at Watendlath,1910,1932,1893
T03415,Meredith Frampton,Marguerite Kelsey,1920,1984,1894
N01153,William Hogarth,The Strode Family,1720,1764,1697
N01574,"Frederic, Lord Leighton",The Bath of Psyche,1850,1896,1830
N06248,Karl Schmidt-Rottluff,Dr Rosa Schapire,1910,1976,1884
N01407,William Dyce,"Pegwell Bay, Kent - a Recollection of October 5th 1858",1830,1864,1806
T00817,Sonia Delaunay,Triptych,1920,1979,1885
T05532,Winifred Knights,The Deluge,1910,1947,1899
T06869,George Stubbs,Horse Frightened by a Lion,1750,1806,1724
N00382,John Simpson,Head of a Man (?Ira Frederick Aldridge),1800,1847,1782
T01122,René Magritte,The Reckless Sleeper,1920,1967,1898
N01275,John Constable,Hampstead Heath with a Rainbow,1800,1837,1776
T01935,Vanessa Bell,Abstract Painting,1910,1961,1879
N05663,Sir Stanley Spencer,Apple Gatherers,1910,1959,1891
N00789,Thomas Gainsborough,The Baillie Family,1750,1788,1727
N04231,Christopher Richard Wynne Nevinson,A Studio in Montparnasse,1910,1946,1889
T04163,Karel Appel,"People, Birds and Sun",1950,2006,1921
T03291,Lee Krasner,Gothic Landscape,1930,1984,1908
N05435,Formerly attributed to John Martin,"The Fallen Angels Entering Pandemonium, from ‘Paradise Lost’, Book 1",1810,1854,1789
T01931,Wyndham Lewis,Workshop,1910,1957,1882
T00896,Bart van der Leck,Composition,1900,1958,1876
T12796,Gerald Leslie Brockhurst,"Portrait of Margaret, Duchess of Argyll",1920,1978,1890
N00516,Joseph Mallord William Turner,Childe Harold’s Pilgrimage - Italy,1800,1851,1775
T12988,John Singer Sargent,Mrs Carl Meyer and her Children,1880,1925,1856
N04509,Vilhelm Hammershoi,"Interior, Sunlight on the Floor",1880,1916,1864
N00488,Joseph Mallord William Turner,Apollo and Python,1800,1851,1775
N03420,James Abbott McNeill Whistler,Nocturne: Blue and Silver - Cremorne Lights,1860,1903,1834
N00461,Joseph Mallord William Turner,"Morning amongst the Coniston Fells, Cumberland",1800,1851,1775
N01541,John William Waterhouse,Consulting the Oracle,1870,1917,1849
N02940,Sir William Orpen,The Mirror,1900,1931,1878
L02546,John Currin,Thanksgiving,1960,1962,1962
N03711,John Singer Sargent,"Essie, Ruby and Ferdinand, Children of Asher Wertheimer",1880,1925,1856
N01520,Sir William Quiller Orchardson,The First Cloud,1860,1910,1832
N00477,Joseph Mallord William Turner,The Goddess of Discord Choosing the Apple of Contention in the Garden of the Hesperides,1800,1851,1775
N05770,"Sir John Everett Millais, Bt",Hearts are Trumps,1850,1896,1829
N01630,George Frederic Watts,Mammon,1850,1904,1817
N03334,William Holman Hunt,The Triumph of the Innocents,1850,1910,1827
N04413,James Tissot,Holyday,1860,1902,1836
N01509,"Sir John Everett Millais, Bt",The North-West Passage,1850,1896,1829
T02309,Giorgio de Chirico,The Melancholy of Departure,1920,1978,1888
N00422,Daniel Maclise,The Play Scene in ‘Hamlet’,1830,1870,1806
N05555,Harold Gilman,The Artist’s Mother,1890,1919,1876
T00556,James Barry,King Lear Weeping over the Dead Body of Cordelia,1760,1806,1741
N03470,Paul Gauguin,Faa Iheihe,1870,1903,1848
T03816,Bridget Riley,Achæan,1930,1931,1931
N01612,Sir George Clausen,The Girl at the Gate,1880,1944,1852
T00439,Ceri Richards,‘Do not go gentle into that good night’,1930,1971,1903
T14872,William Stott of Oldham,Le Passeur (The Ferryman),1870,1900,1857
N02973,Frank Cadogan Cowper,Lucretia Borgia Reigns in the Vatican in the Absence of Pope Alexander VI,1900,1958,1877
T00961,Sir Stanley Spencer,St Francis and the Birds,1910,1959,1891
N00502,Joseph Mallord William Turner,"England: Richmond Hill, on the Prince Regent’s Birthday",1800,1851,1775
T01251,Paul Nash,Equivalents for the Megaliths,1910,1946,1889
T04115,R.B. Kitaj,"Cecil Court, London W.C.2. (The Refugees)",1960,2007,1932
T01227,Sir Luke Fildes,Applicants for Admission to a Casual Ward,1870,1927,1843
N00372,Joseph Mallord William Turner,"The Dogano, San Giorgio, Citella, from the Steps of the Europa",1800,1851,1775
T07606,Cecily Brown,Trouble in Paradise,1970,1969,1969
N01627,Frank Bramley,A Hopeless Dawn,1880,1915,1857
L03066,Paul Klee,Ships in the Dark,1900,1940,1879
N04106,Vilhelm Hammershoi,Interior,1880,1916,1864
N05856,Edward Collier,Still Life,1680,1708,1662
N04604,Arthur Hughes,The Eve of St Agnes,1860,1915,1832
N01553,Elizabeth Butler (Lady Butler),The Remnants of an Army,1870,1933,1846
T13719,Lucian Freud,Girl in a Striped Nightshirt,1950,2011,1922
N05957,John Constable,"Chain Pier, Brighton",1800,1837,1776
T03442,Georg Baselitz,Rebel,1940,1938,1938
T01319,Arshile Gorky,Waterfall,1920,1948,1904
N00505,Joseph Mallord William Turner,"The Bay of Baiae, with Apollo and the Sibyl",1800,1851,1775
N05844,Thomas Gainsborough,Pomeranian Bitch and Puppy,1750,1788,1727
T06768,Derek Jarman,Ataxia - Aids is Fun,1960,1994,1942
T00926,Franz Kline,Meryon,1930,1962,1910
N01511,"Frederic, Lord Leighton",And the Sea Gave Up the Dead Which Were in It,1850,1896,1830
L01926,Canaletto (Giovanni Antonio Canal),A View of Greenwich from the River,1720,1768,1697
T03189,David Inshaw,The Badminton Game,1940,1943,1943
T12865,"Sir John Everett Millais, Bt",Dew-Drenched Furze,1850,1896,1829
T00920,Robert Delaunay,"Windows Open Simultaneously (First Part, Third Motif)",1900,1941,1885
T00453,Francis Bacon,Reclining Woman,1940,1992,1909
N01590,Thomas Cooper Gotch,Alleluia,1880,1931,1854
N04132,Joseph Wright of Derby,Sir Brooke Boothby,1750,1797,1734
T00781,Alberto Giacometti,Caroline,1920,1966,1901
T07041,Walter Richard Sickert,Brighton Pierrots,1890,1942,1860
